fipscode,growth rate
6037,0.0684
17031,0.0289
48201,0.0548
4013,0.0986
6073,0.0715
6059,0.0575
36047,0.053
12086,0.0746
48113,0.072
36081,0.05
6065,0.0811
6071,0.0874
32003,0.0884
53033,0.0815
26163,0.0976
48439,0.0722
6085,0.0862
12011,0.0742
48029,0.0527
36061,0.0295
42101,0.0432
6001,0.0904
25017,0.0494
36103,0.0315
6067,0.0879
36005,0.0428
36059,0.0343
12099,0.0684
39035,0.0411
12057,0.0718
42003,0.05
26125,0.0738
39049,0.0579
27053,0.0503
12095,0.0783
51059,0.0369
6013,0.0877
49035,0.08
48453,0.0851
29189,0.0362
4019,0.0537
24031,0.029
15003,0.0379
36119,0.0177
55079,0.0408
6019,0.0673
47157,0.0515
13121,0.0628
37119,0.0622
36029,0.0519
17043,0.0254
9001,0.0201
12103,0.0805
34003,0.0231
18097,0.0617
37183,0.0462
9003,0.0149
12031,0.0583
24033,0.0562
9009,0.0185
26099,0.0766
6029,0.0705
6111,0.0536
34023,0.0267
13135,0.0737
6075,0.0681
24005,0.0221
39061,0.0464
48141,0.0246
42091,0.0289
25027,0.0441
53053,0.0749
34013,0.0311
48085,0.0659
48215,0.0492
36055,0.04
25009,0.0496
21111,0.0414
41051,0.0702
25025,0.0616
40109,0.0366
6081,0.0798
53061,0.085
17097,0.0241
13089,0.0697
13067,0.0641
6077,0.0995
17197,0.0311
29095,0.0572
25021,0.046
48121,0.0633
35001,0.0361
1073,0.0396
34017,0.0433
34025,0.031
47037,0.071
44007,0.0453
42017,0.0299
8041,0.07
24510,0.0186
12071,0.0715
40143,0.0294
26081,0.0809
12105,0.0714
11001,0.0487
8031,0.0815
48157,0.0424
34029,0.0276
8005,0.081
42045,0.0268
25005,0.0424
20091,0.0472
12009,0.0784
39153,0.0359
10003,0.0221
24003,0.0239
34039,0.0287
39113,0.0431
8059,0.0852
41067,0.0699
42071,0.0349
31055,0.0541
49049,0.0813
17089,0.0313
6099,0.0991
34007,0.0194
27123,0.0519
34031,0.0244
42029,0.027
20173,0.0332
18089,0.0372
25023,0.0441
12127,0.071
34027,0.0175
37081,0.0361
55025,0.0435
6097,0.0655
53063,0.0728
36085,0.0359
36067,0.0333
12101,0.0709
25013,0.0316
48339,0.0446
45045,0.0472
34005,0.0169
6107,0.0686
39095,0.0474
8001,0.09
22033,0.0111
51810,0.0234
42133,0.0285
22051,0.0287
47093,0.0465
19153,0.0418
26049,0.0612
53011,0.0783
6083,0.0524
12117,0.0683
48491,0.0798
32031,0.0989
6053,0.0769
6095,0.0852
1097,0.0237
42011,0.028
48061,0.0309
51153,0.0482
33011,0.0487
27037,0.0541
16001,0.1139
55133,0.039
45079,0.0214
5119,0.0131
12115,0.0608
41005,0.0646
4021,0.1001
39151,0.0394
36071,0.0235
39017,0.044
34021,0.0152
42129,0.0274
29183,0.0419
18003,0.053
41039,0.0613
37067,0.0355
45019,0.0501
42077,0.0283
6061,0.0688
26161,0.0593
22071,0.0485
48355,0.0398
47065,0.0458
1089,0.0376
12083,0.0549
27003,0.06
34035,0.0181
12081,0.0647
12021,0.0529
42079,0.0224
37051,0.0141
29510,0.0235
51041,0.0355
41047,0.071
48039,0.0466
51107,0.0418
36087,0.0187
48027,0.0363
17111,0.0265
51087,0.037
49011,0.0784
36001,0.0203
39093,0.0338
8069,0.0683
42095,0.0295
12033,0.0472
36027,0.0244
12069,0.0622
21067,0.0381
17201,0.0233
33015,0.0504
8013,0.0715
2020,0.0219
48167,0.0509
34015,0.0168
24027,0.0202
8035,0.0599
31109,0.0499
45083,0.045
23005,0.0558
26065,0.0449
42049,0.0248
48303,0.0267
12111,0.092
12073,0.0326
29077,0.0451
18057,0.0441
34001,0.0109
9011,0.0206
17163,0.0137
6079,0.0557
45051,0.0358
17119,0.0205
12097,0.0782
42043,0.0245
37063,0.053
18141,0.0447
13051,0.0292
26139,0.0633
47149,0.0654
45063,0.0262
6087,0.0687
13063,0.1198
6047,0.1081
40027,0.0276
22017,0.0029
8123,0.079
6041,0.0614
48245,0.0339
53067,0.0619
53035,0.0641
26077,0.054
48479,0.0234
55009,0.0443
12001,0.0404
28049,0.0198
24025,0.0209
53077,0.0574
51710,0.0175
39099,0.0407
37021,0.0516
27163,0.0477
42041,0.0247
48309,0.0552
36065,0.0369
22103,0.0232
24021,0.0346
49057,0.0836
39085,0.0282
1101,0.0053
45091,0.0619
51550,0.0234
29047,0.0492
22055,0.0104
5007,0.0598
6007,0.0582
36091,0.03
29099,0.028
36063,0.0507
25001,0.0402
42069,0.0121
13057,0.0607
39165,0.0442
19113,0.0264
4025,0.0763
39155,0.0392
48423,0.0401
35013,0.0146
42125,0.0289
51013,0.0348
37071,0.0628
51760,0.0495
13151,0.0684
41029,0.0564
5143,0.0562
37129,0.0384
37179,0.0556
53073,0.0649
17019,0.0152
6113,0.0637
36007,0.0137
27137,0.0357
4015,0.0799
26145,0.0407
18039,0.0536
17167,0.0155
39025,0.0405
10005,0.0288
23031,0.0483
4027,0.0442
55101,0.0464
1117,0.0352
48041,0.0404
1125,0.028
54039,0.0061
12019,0.0506
12109,0.0483
9005,0.0226
13215,0.0107
16027,0.137
45007,0.0398
28047,0.0296
17143,0.0027
42019,0.0343
47187,0.0632
36111,0.0407
1003,0.0475
6017,0.0662
26093,0.0638
12091,0.0494
51700,0.016
18163,0.0406
13139,0.0611
37025,0.0558
20177,0.0271
45015,0.0464
37133,0.0066
6089,0.0982
55087,0.0435
13117,0.0537
53005,0.0638
6025,0.0888
39041,0.0429
18157,0.0482
12053,0.0826
39103,0.0408
47125,0.0392
26121,0.0747
42007,0.0362
42089,0.0312
17113,0.0098
46099,0.0482
37101,0.0451
12005,0.041
37147,0.024
24013,0.0274
55139,0.0433
39089,0.0562
55059,0.0418
44003,0.042
9007,0.0143
19163,0.0282
18127,0.0406
26147,0.064
37057,0.0417
29019,0.0321
10001,0.0268
45013,0.0281
39057,0.0372
39133,0.0329
28033,0.0386
47165,0.057
55105,0.0533
26075,0.066
45003,0.0243
12015,0.072
21117,0.0389
37097,0.0418
36083,0.0234
8101,0.0662
31153,0.0441
25015,0.0253
41017,0.097
20209,0.0696
48209,0.0659
34011,0.0211
47163,0.036
26021,0.0347
50007,0.0332
13021,0.0435
15009,0.0306
36093,0.0215
37035,0.0436
42027,0.01
23019,0.0359
22073,0.0176
6031,0.0624
9013,0.0155
26115,0.0387
12113,0.0513
48251,0.067
6039,0.0801
27145,0.0561
38017,0.0309
42055,0.0262
48139,0.0661
34037,0.0175
42107,0.0334
30111,0.0369
17161,0.0143
24043,0.0348
8077,0.047
24017,0.0323
33013,0.0446
12085,0.0619
39045,0.0517
18063,0.0482
27109,0.0537
35049,0.0368
42021,0.0173
37151,0.0357
28121,0.026
12017,0.0596
1081,0.0308
51510,0.0346
13153,0.0235
28059,0.02
18081,0.0526
16055,0.0924
37159,0.041
39023,0.0462
49053,0.0771
12061,0.0634
18105,0.0447
51650,0.0197
48135,0.0564
45041,0.0244
48329,0.0473
42051,0.0298
45035,0.0469
6055,0.0717
26025,0.0526
17179,0.0088
36013,0.0336
6023,0.0414
4005,0.0603
55073,0.0363
37135,0.0343
42075,0.0264
13097,0.0651
55131,0.0448
18095,0.0551
22079,0.0135
35043,0.0361
48187,0.0372
48441,0.0401
48485,0.0273
4003,0.0677
25003,0.0229
19013,0.0185
19103,0.024
35045,0.0537
27139,0.0523
51179,0.0447
34019,0.0162
22063,0.0193
13077,0.0532
42013,0.0299
44009,0.0382
5131,0.0274
39173,0.0344
27171,0.0568
39139,0.0583
40031,0.0216
13073,0.031
33017,0.0476
47009,0.0449
47179,0.031
37191,0.0294
51177,0.0459
23011,0.0468
36075,0.0317
48183,0.0417
22105,0.0144
48375,0.0283
48181,0.0629
48381,0.0316
1103,0.0516
45077,0.0476
21015,0.0424
1015,0.0282
9015,0.0327
18035,0.043
29097,0.0717
22015,0.0082
48367,0.0625
53057,0.0688
13059,0.0534
41043,0.08
42085,0.0346
36045,0.0247
42081,0.0262
40017,0.0262
55117,0.0524
17093,0.0405
37085,0.0324
55063,0.0437
39169,0.0413
47189,0.0564
17099,0.0197
21227,0.0309
17091,0.0237
5045,0.0255
49005,0.0639
36089,0.0255
22109,0.0238
18091,0.0384
26005,0.0629
20045,0.037
17115,0.0104
13045,0.0657
18019,0.0531
48451,0.0661
30063,0.0585
13185,0.0252
34041,0.0216
48091,0.0525
36069,0.0314
18167,0.028
39029,0.0339
26017,0.0426
26045,0.0494
23001,0.0453
41019,0.0389
45085,0.0296
4017,0.075
37019,0.0261
22005,0.0255
5125,0.0254
37089,0.0488
13113,0.0468
39003,0.041
21093,0.039
17037,0.0229
24037,0.0213
1055,0.0197
16019,0.0688
54003,0.0472
37049,0.0175
48257,0.0521
13313,0.0474
39109,0.0402
53015,0.0773
55127,0.0483
19193,0.0447
55039,0.0431
36109,0.0227
1069,0.0117
39007,0.0253
29071,0.0375
42001,0.0163
24015,0.0224
46103,0.0432
13015,0.0656
13217,0.0968
26091,0.0519
51085,0.0282
36079,0.0186
29037,0.0563
41071,0.0734
36101,0.0293
51003,0.0244
47011,0.0435
12055,0.0558
6057,0.0608
55035,0.0533
24045,0.0239
47113,0.0402
37045,0.041
2090,0.023
34009,0.0304
51770,0.0342
21059,0.0384
5031,0.0336
54011,0.0175
22057,0.0041
13115,0.0507
54061,0.0434
5051,0.0372
37127,0.0353
12035,0.0579
51740,0.0286
28089,0.0201
6101,0.0729
13095,0.0226
42097,0.0355
51121,0.0287
36117,0.0339
19061,0.0334
37157,0.0329
12119,0.0401
39055,0.0332
19155,0.0315
1095,0.0486
1077,0.0282
39157,0.0271
48037,0.0602
45075,0.0213
51161,0.035
56021,0.0399
42073,0.0266
27019,0.0442
30029,0.0779
21037,0.0427
47155,0.0598
19169,0.0323
30031,0.0668
29165,0.0447
29021,0.026
53025,0.0697
33009,0.0437
2170,0.0022
42063,0.0334
36015,0.0229
42039,0.0309
55027,0.0498
24009,0.0201
27141,0.0653
26087,0.0572
37125,0.0371
6045,0.0483
26055,0.0728
54107,0.0317
40131,0.0116
48005,0.0551
55089,0.038
48231,0.0437
39119,0.0379
41003,0.0516
13247,0.0775
51800,0.02
55109,0.0596
13297,0.0686
55055,0.0602
26111,0.0462
1115,0.0335
22097,0.0303
37027,0.0351
21151,0.0371
28081,0.0251
44005,0.0369
16005,0.0629
18067,0.0473
41033,0.0531
1121,0.0227
36019,0.0325
48361,0.0415
42033,0.0302
17183,0.0171
55071,0.0362
30013,0.044
38015,0.0454
37195,0.0269
47119,0.0692
1043,0.0356
36009,-0.0088
28075,0.0193
36011,0.0253
13127,0.0315
39145,0.0248
1051,0.0313
54081,0.0216
48213,0.0548
53029,0.0629
48397,0.0538
51069,0.0452
37109,0.0476
53021,0.0874
39141,0.0426
42111,0.0265
36105,0.0284
5069,0.0126
29043,0.0541
18085,0.0433
40119,0.0331
16083,0.0811
33005,0.0373
39043,0.0323
5145,0.0315
18005,0.0449
45057,0.0432
35061,0.0467
51165,0.0281
26159,0.0435
20103,0.0542
29051,0.0322
41059,0.0777
29031,0.0338
48291,0.0556
51680,0.0372
53041,0.0757
56025,0.0236
41053,0.0693
48099,0.032
26037,0.0556
47001,0.0471
24001,0.033
28035,0.019
39063,0.0427
55141,0.0327
18043,0.0541
12107,0.0777
21029,0.0435
45073,0.0341
48021,0.0605
21047,0.0228
51015,0.026
37171,0.0329
36053,0.0065
12089,0.0641
22045,0.0188
40145,0.0406
53027,0.0898
53007,0.0763
47141,0.0481
6115,0.0771
23003,0.01
4001,0.0705
35031,0.0245
53009,0.0566
25011,0.0288
20161,0.0259
1049,0.0378
40101,0.0141
26155,0.0374
39013,0.0555
26073,0.041
13031,0.0339
18053,0.0281
55097,0.0452
18059,0.046
40037,0.0298
40125,0.0249
13013,0.0915
37193,0.0415
54033,0.0335
42005,0.0331
18177,0.0224
18109,0.0497
47059,0.0512
13295,0.0514
45031,0.0278
51019,0.0312
5085,0.0231
48471,0.0526
37161,0.0349
28067,0.0222
12023,0.0785
42037,0.0305
17001,0.0341
15007,0.0388
26103,0.0547
13285,0.0372
1127,0.0141
51095,0.0186
38035,0.033
45059,0.0344
39101,0.0301
37031,0.0216
41035,0.0441
17199,0.0069
47147,0.0602
19049,0.0349
34033,0.0177
20015,0.0329
36113,0.0313
35005,0.0461
48203,0.0339
21145,0.0242
51199,0.0249
36051,0.0327
29187,0.0402
42025,0.0282
51061,0.0549
21195,0.0276
48409,0.0429
39009,0.0427
35025,0.0727
6033,0.0712
48347,0.0429
36043,0.0317
20155,0.028
27131,0.0599
27013,0.0471
13047,0.0524
26067,0.0578
51143,0.0279
37037,0.0364
6103,0.0554
13179,0.0368
37163,0.0322
30049,0.059
26117,0.0569
36115,0.0365
36021,0.042
21199,0.0504
41011,0.0597
42015,0.0512
47063,0.0388
27035,0.0542
39087,0.042
55017,0.0511
54055,0.025
36077,0.0332
55111,0.0395
5033,0.0271
39167,0.044
22001,0.0548
5115,0.035
45055,0.0354
38101,0.037
50021,0.0132
26149,0.0647
47167,0.041
48427,0.0218
39143,0.0365
39083,0.065
53045,0.074
37069,0.0442
37167,0.034
40047,0.0289
13157,0.0611
21185,0.0368
17077,-0.0122
45043,0.0372
33001,0.0493
36037,0.0376
37077,0.0403
28087,0.018
18173,0.0446
39077,0.0252
50023,0.031
37107,0.0247
26015,0.0665
48497,0.0576
37087,0.049
27027,0.0406
21125,0.0272
53071,0.0649
31079,0.0462
37061,0.0319
17195,0.0226
48001,0.0369
49045,0.0795
29145,0.0368
37047,0.0278
37105,0.0286
23017,0.0306
47019,0.0428
42103,0.0243
1009,0.0339
27111,0.0441
55021,0.0428
47073,0.0403
39147,0.0334
50027,0.0172
18011,0.0417
37065,0.0138
54049,0.0341
8045,0.0786
51067,0.0332
47035,0.0427
8014,0.0702
28109,0.0177
26157,0.0414
39129,0.0417
28073,0.0183
20169,0.0285
36035,0.0427
54079,0.0252
2122,0.0296
45021,0.0405
32510,0.0971
6069,0.0625
13129,0.0428
12131,0.0545
42121,0.0345
51191,0.0262
51031,0.029
37083,0.0148
48199,0.0411
1001,0.0188
23009,0.0387
48323,0.0526
47145,0.0448
17007,0.0199
51089,0.0169
27025,0.0687
17029,0.0225
4007,0.0777
54037,0.0268
17141,0.0195
48401,0.0397
1071,0.0301
39005,0.0353
39037,0.0364
1113,0.0175
17095,0.0291
42127,0.0227
47031,0.0476
22089,0.0229
29101,0.0443
48467,0.0502
29113,0.0391
40051,0.0315
55135,0.0338
22115,0.0165
39159,0.0482
26027,0.0661
29169,0.0093
47107,0.0433
13103,0.0393
23025,0.0272
37141,0.0316
8037,0.0394
22099,0.023
32019,0.0982
29213,0.0343
36033,0.0416
27169,0.0409
24047,0.0237
47089,0.0409
8067,0.0423
55043,0.0405
48221,0.0548
36107,0.0379
37189,0.0457
40147,0.0217
5035,0.0159
48073,0.0446
13039,0.0352
17073,0.0298
36017,0.0337
40079,0.0368
1045,0.0232
36057,0.0344
17063,0.0236
18029,0.0341
49003,0.0776
1031,0.0156
44001,0.0583
48277,0.0531
42009,0.0376
12063,0.0582
47053,0.0342
47043,0.0584
48265,0.0494
21019,0.0282
18065,0.0293
39149,0.0407
41009,0.0727
36023,0.0379
21073,0.0328
36039,0.0406
19045,0.0174
55015,0.0376
36003,0.0391
51660,0.0275
48465,0.0413
32007,0.096
28149,0.0211
21113,0.0297
47105,0.0384
26123,0.062
13175,0.0437
36025,0.0292
33003,0.0515
24035,0.0314
17117,0.0164
37013,0.0224
50011,0.0214
48349,0.0425
17177,0.0054
28105,0.0175
40019,0.0409
18113,0.0387
40113,0.0292
4023,0.0656
37169,0.0294
28071,0.0271
21209,0.0403
22117,0.0221
18099,0.0326
32005,0.0907
40021,0.0258
37093,0.0308
21107,0.018
22061,0.0296
45025,0.0515
51047,0.0289
26059,0.0545
42087,0.0331
37153,0.0362
40071,0.0266
5093,0.0123
12039,0.0523
21101,0.0271
19181,0.0295
27049,0.0442
49021,0.0511
18093,0.0419
56005,0.0167
31019,0.0403
41041,0.0678
48325,0.0516
42099,0.0286
39011,0.0412
22095,0.0057
42061,0.0317
55005,0.0417
39091,0.0425
40121,0.0206
13009,0.0354
16011,0.079
6009,0.0563
13071,0.0442
37181,0.017
48373,0.0497
26023,0.0528
42065,0.0322
51185,0.024
47003,0.0615
27061,0.0426
40137,0.0332
42119,0.0303
48013,0.0589
6093,0.049
39015,0.0393
53075,0.0704
13275,0.0367
55081,0.0403
47123,0.0498
50025,0.0157
54069,0.0332
27007,0.048
18145,0.0368
29027,0.0405
55095,0.0404
55031,0.0322
19033,0.0267
29029,0.0491
32023,0.0758
28045,0.0176
55033,0.0313
1047,0.0172
56037,0.0248
39033,0.0234
33019,0.0344
1021,0.0261
39071,0.0334
53065,0.0618
51540,0.0357
5091,0.0336
42083,0.0274
21179,0.0458
39097,0.0448
42115,0.021
48473,0.0557
26151,0.0433
51590,0.0148
13137,0.0396
48493,0.0551
36073,0.0363
26107,0.0474
29023,0.0199
48053,0.0506
19139,0.0246
39051,0.0339
54099,0.0103
26057,0.0444
40013,0.0411
40135,0.0306
18071,0.0388
39075,0.0556
13069,0.04
39135,0.0328
27067,0.0413
18033,0.048
29159,0.0614
21009,0.0377
36121,0.0369
5055,0.0365
21211,0.0413
22009,0.0251
39027,0.0348
51171,0.0186
42117,0.0432
48499,0.055
55115,0.0275
18037,0.0424
47099,0.047
40083,0.0264
55075,0.0347
5139,0.0285
1123,0.0275
12121,0.0638
5005,0.0297
40041,0.0358
13233,0.0431
51195,0.0237
39123,0.033
48481,0.047
8085,0.0512
40097,0.0424
37059,0.0309
22119,0.0447
53047,0.0608
47051,0.0384
55093,0.0299
53037,0.0596
16017,0.0685
48249,0.0392
39107,0.0521
12075,0.0498
47013,0.0394
37139,0.0123
19127,0.0173
28113,0.021
29091,0.0344
19057,0.0232
37099,0.0253
35039,0.0113
30081,0.0378
56013,0.0232
13277,0.044
39021,0.0391
39059,0.049
40111,0.0315
12093,0.0407
42031,0.0313
47177,0.054
23013,0.0279
42109,0.038
13213,0.0444
22069,0.0093
17055,0.0142
37145,0.0297
21071,0.0048
36031,0.0353
18061,0.0377
48459,0.0365
16069,0.0732
42035,0.0397
27099,0.0516
12051,0.0556
20037,0.0225
47021,0.0601
39039,0.0457
18017,0.0265
17105,0.0156
45029,0.0335
17081,0.0349
23027,0.0311
42059,0.0152
17203,0.0271
29109,0.0483
26033,0.0562
27009,0.0407
18083,0.0397
48097,0.051
53017,0.069
47047,0.0349
37197,0.0354
47045,0.0287
1053,0.0175
18107,0.0382
48049,0.0499
6005,0.0509
48055,0.0545
19187,0.0246
18133,0.0389
48143,0.0488
51683,0.0559
27059,0.0374
24041,0.0295
1039,0.0512
17027,0.0308
55083,0.032
39171,0.0318
51187,0.0301
16065,0.0739
45071,0.0348
40123,0.0283
16057,0.0686
4009,0.0771
37003,0.0343
21035,0.033
28093,0.0166
18087,0.0383
50003,0.0151
18069,0.0343
21083,0.0266
26041,0.0473
17057,0.024
28003,0.0265
41007,0.0629
31157,0.0446
21089,0.0342
5009,0.0289
18103,0.0277
39031,0.0451
51073,0.0234
19099,0.0225
55045,0.0342
50001,0.0188
20055,0.0482
54045,0.0336
48321,0.0512
31053,0.0416
27085,0.0453
5063,0.0293
26061,0.0434
27147,0.0351
46013,0.0338
49043,0.0727
13299,0.0422
20035,0.0221
56001,0.0315
31111,0.0415
48189,0.0338
51083,0.024
29225,0.0366
37165,0.0168
39127,0.0366
17103,0.0043
27041,0.0471
55085,0.0198
22087,0.0178
19111,0.0265
51149,0.0252
48241,0.0499
47029,0.0379
22011,0.0272
21235,0.0266
19179,0.024
21049,0.0221
29009,0.0582
29105,0.0337
17137,0.0281
54025,0.0245
20125,-0.0033
27017,0.0424
23023,0.0363
51093,0.0214
36099,0.0416
37017,0.0284
48071,0.0519
48217,0.0457
47183,0.0372
48227,0.0751
17011,0.0226
45027,0.0173
